SUBSCRIPTION_DATE,SUBSCRIPTION_COUNTY,SUBSCRIBER_DOMESTIC_FOREIGN,LONGITUDE,LATITUDE,NUMBER_OF_SUBSCRIBER
2020-12-27,KADIKÖY,Yabancı,29.02325,40.9927,1
2021-04-16,ÜMRANİYE,Yerli,29.105516,41.017006,2
2021-06-25,KADIKÖY,Yerli,29.08863,40.954044,2
2019-01-23,SARIYER,Yerli,29.090822,41.243239,2
2021-03-01,KARTAL,Yerli,29.14665,40.90128,1
2021-07-08,BEYLİKDÜZÜ,Yerli,28.656623,41.009845,1
2021-07-13,ÜMRANİYE,Yerli,29.118248,41.040737,32
2021-02-21,FATİH,Yerli,28.94929,41.01124,3
2021-07-08,AVCILAR,Yerli,28.725085,40.984185,2
2021-04-22,FATİH,Yabancı,28.978365,41.008506,2
2021-05-25,BEYOĞLU,Yabancı,28.985666,41.037058,1
2019-06-30,ŞİŞLİ,Yabancı,28.981998,41.068341,1
2019-02-16,BAKIRKÖY,Yerli,28.820556,40.978551,5
2019-08-04,KÜÇÜKÇEKMECE,Yerli,28.796872,41.044715,8
2020-11-30,KÜÇÜKÇEKMECE,Yabancı,28.78062,40.98844,2
2021-05-25,BEYLİKDÜZÜ,Yabancı,28.657735,41.008841,1
2021-06-29,FATİH,Yerli,28.949292,41.011242,11
2018-05-11,SANCAKTEPE,Yerli,29.233057,40.978484,1
2020-12-05,ÜSKÜDAR,Yerli,29.04378,41.01762,1
2021-06-10,GÜNGÖREN,Yerli,28.86084,41.029178,2
2020-01-10,KARTAL,Yerli,29.189967,40.892454,4
2020-11-17,BAKIRKÖY,Yerli,28.80734,40.96082,3
2020-11-18,KAĞITHANE,Yerli,28.96352,41.08589,1
2021-03-05,KADIKÖY,Yerli,29.05786,40.96995,2
2020-11-10,KÜÇÜKÇEKMECE,Yerli,28.7653,40.9999,2
2021-06-02,ESENLER,Yerli,28.896005,41.041025,1
2021-06-20,ZEYTİNBURNU,Yerli,28.909518,41.010555,1
2021-07-06,BAĞCILAR,Yerli,28.856627,41.034462,18
2021-01-15,MALTEPE,Yerli,29.12119,40.92453,1
2020-12-11,FATİH,Yerli,28.97397,41.0176,1
2021-06-30,KÜÇÜKÇEKMECE,Yerli,28.77166,40.990604,3
2021-03-09,FATİH,Yerli,28.95307,41.00019,1
2021-03-29,KADIKÖY,Yerli,29.02399,40.99213,32
2021-02-25,FATİH,Yabancı,28.97836,41.0085,2
2021-03-30,BAYRAMPAŞA,Yerli,28.88683,41.04874,2
2020-12-03,FATİH,Yerli,28.97778,41.00683,7
2020-11-17,BAKIRKÖY,Yerli,28.79174,40.98075,1
2019-07-20,ŞİŞLİ,Yerli,28.989035,41.057795,1
2021-01-20,FATİH,Yerli,28.93474,41.02604,1
2020-12-26,BEYKOZ,Yerli,29.09185,41.1341,1
2020-12-15,KADIKÖY,Yerli,29.1044,40.96544,1
2020-10-28,KADIKÖY,Yerli,29.099479,40.975596,2
2021-07-07,SARIYER,Yerli,29.053011,41.108199,16
2021-03-01,FATİH,Yerli,28.94658,41.0101,1
2021-01-12,BAKIRKÖY,Yerli,28.86382,40.98656,1
2021-02-05,SARIYER,Yerli,29.05751,41.16718,1
2020-11-25,FATİH,Yerli,28.97549,41.0081,1
2021-05-28,KADIKÖY,Yabancı,29.023992,40.99213,2
2021-07-08,KÜÇÜKÇEKMECE,Yerli,28.790419,40.988251,1
2021-06-30,BEYOĞLU,Yerli,28.9668,41.029852,3
2021-04-15,GÜNGÖREN,Yerli,28.86084,41.029178,2
2019-08-05,ŞİŞLİ,Yerli,29.011473,41.080041,1
2020-10-29,ESENLER,Yerli,28.89344,41.03932,2
2021-06-07,ESENYURT,Yerli,29.16611,40.920918,1
2020-11-10,BEYOĞLU,Yerli,28.9668,41.02985,2
2021-01-05,BEYLİKDÜZÜ,Yerli,28.65773,41.00884,2
2021-01-22,ŞİŞLİ,Yerli,28.98871,41.04638,1
2017-10-16,BAKIRKÖY,Yerli,28.820556,40.978551,9
2019-03-08,FATİH,Yabancı,28.972482,41.007712,1
2018-03-12,EYÜP SULTAN,Yerli,28.948922,41.082908,1
2021-05-01,BEŞİKTAŞ,Yerli,29.00736,41.041218,2
2021-01-14,ÜSKÜDAR,Yerli,29.01488,41.02727,5
2021-04-28,ÜSKÜDAR,Yerli,29.063421,41.021925,6
2018-11-23,EYÜP SULTAN,Yerli,28.933511,41.047359,3
2021-01-24,FATİH,Yabancı,28.97119,41.00894,1
2020-10-27,MALTEPE,Yerli,29.145264,40.929618,1
2021-04-18,BAKIRKÖY,Yerli,28.812574,40.960154,2
2021-04-26,FATİH,Yerli,28.972923,41.018207,2
2020-12-09,BAŞAKŞEHİR,Yerli,28.78554,41.10443,1
2021-05-13,KÜÇÜKÇEKMECE,Yerli,28.786787,40.985936,2
2021-06-07,ÜSKÜDAR,Yerli,29.063421,41.021925,2
2018-11-27,SANCAKTEPE,Yerli,29.233057,40.978484,2
2018-07-22,İSTANBUL,Yabancı,28.58272,41.01418,1
2021-04-10,KARTAL,Yerli,29.18304,40.91249,4
2021-07-10,MALTEPE,Yerli,29.256022,40.868536,67
2021-06-11,BAŞAKŞEHİR,Yerli,28.72489,41.072225,1
2019-07-07,ESENLER,Yerli,28.873136,41.053895,2
2021-01-25,ESENLER,Yerli,28.87899,41.05301,1
2021-04-05,BAHÇELİEVLER,Yerli,28.86388,40.99545,2
2021-01-18,SULTANGAZİ,Yerli,28.86224,41.10459,2
2021-07-19,ÇATALCA,Yerli,28.453073,41.392387,1
2020-11-01,FATİH,Yerli,28.97778,41.00683,11
2021-01-07,BAHÇELİEVLER,Yerli,28.86444,41.01231,1
2021-01-05,KÜÇÜKÇEKMECE,Yerli,28.79054,41.03172,2
2021-01-27,SANCAKTEPE,Yerli,29.24496,41.01475,2
2021-07-13,ÜSKÜDAR,Yabancı,29.008469,41.024939,10
2021-02-28,SANCAKTEPE,Yerli,29.22955,40.99253,1
2021-06-19,SULTANGAZİ,Yerli,28.862245,41.104596,6
2021-06-26,ESENLER,Yerli,28.894728,41.040605,2
2021-05-24,FATİH,Yabancı,28.976958,41.005342,1
2020-07-04,BAKIRKÖY,Yerli,28.820556,40.978551,1
2021-04-30,FATİH,Yabancı,28.973529,41.017514,2
2021-01-18,SULTANGAZİ,Yerli,28.8767,41.09774,1
2021-02-28,EYÜPSULTAN,Yerli,28.92277,41.09255,2
2021-02-01,FATİH,Yabancı,28.97821,41.01181,1
2021-05-25,ESENLER,Yerli,28.893607,41.040117,5
2020-12-12,BEYOĞLU,Yerli,28.98954,41.03908,2
2021-06-10,ESENLER,Yerli,28.873136,41.053895,1
2021-07-17,ŞİŞLİ,Yerli,28.59289,41.035982,2
2021-04-26,FATİH,Yerli,28.955328,41.013451,4
2021-02-05,KARTAL,Yerli,29.20128,40.88494,1
2021-06-14,BEŞİKTAŞ,Yabancı,29.044642,41.067514,1
2021-07-06,ZEYTİNBURNU,Yerli,28.922089,41.003475,2
2021-02-25,FATİH,Yabancı,28.97119,41.00894,1
2021-01-16,KADIKÖY,Yerli,29.02399,40.99213,3
2021-05-19,BAĞCILAR,Yerli,28.860657,41.03274,4
2019-02-24,KARTAL,Yerli,29.189967,40.892454,4
2021-06-22,BEYLİKDÜZÜ,Yerli,28.59777,40.992707,1
2019-09-12,ŞİŞLİ,Bilinmiyor,28.981998,41.068341,1
2020-12-30,BAHÇELİEVLER,Yerli,28.82949,41.01411,1
2018-02-21,BAKIRKÖY,Yerli,28.820556,40.978551,1
2021-06-24,ŞİLE,Yerli,29.456303,41.183378,1
2021-02-03,ÜMRANİYE,Yerli,29.1164,41.02055,1
2021-06-12,ZEYTİNBURNU,Yerli,28.896656,40.985878,3
2021-07-08,KÜÇÜKÇEKMECE,Yerli,28.75983,41.0536,1
2020-12-02,SANCAKTEPE,Yerli,29.22317,40.98687,1
2018-06-12,BEYKOZ,Yerli,29.138382,41.075281,1
2019-09-27,SANCAKTEPE,Yerli,29.233057,40.978484,1
2019-09-15,MALTEPE,Yerli,29.121198,40.924531,44
2020-12-13,ÜSKÜDAR,Yerli,29.01488,41.02727,1
2020-11-18,AVCILAR,Yerli,28.71296,40.99353,1
2016-08-27,KAĞITHANE,Yerli,28.573054,41.035648,4
2021-07-02,BAHÇELİEVLER,Yerli,28.845483,40.99203,9
2021-06-06,BEYOĞLU,Yerli,28.985666,41.037058,10
2019-10-14,KARTAL,Yerli,29.189967,40.892454,2
2021-07-13,BAŞAKŞEHİR,Yerli,28.72489,41.072225,2
2021-04-16,SULTANGAZİ,Yerli,28.860871,41.105707,4
2021-05-07,SULTANBEYLİ,Yerli,29.266654,40.96714,4
2020-11-17,FATİH,Yerli,28.97292,41.0182,1
2021-06-25,FATİH,Yabancı,28.970257,41.017572,12
2021-01-12,FATİH,Yerli,28.96279,41.00249,1
2021-02-18,BEŞİKTAŞ,Yerli,29.04464,41.06751,1
2021-04-06,FATİH,Yabancı,28.95411,41.01552,2
2018-11-16,SARIYER,Yabancı,29.090822,41.243239,2
2021-06-12,ZEYTİNBURNU,Yerli,28.921655,41.022063,5
2021-06-30,BEYOĞLU,Yerli,28.949284,41.055284,2
2021-04-11,KÜÇÜKÇEKMECE,Yerli,28.77166,40.9906,2
2021-04-13,ZEYTİNBURNU,Yabancı,28.890811,41.002993,2
2021-05-05,BEYOĞLU,Yerli,28.989542,41.039082,4
2021-04-28,ŞİŞLİ,Yerli,28.994621,41.061808,2
2021-06-04,SANCAKTEPE,Yerli,29.229558,40.992531,4
2019-10-16,ŞİŞLİ,Yerli,29.011473,41.080041,1
2020-10-31,ZEYTİNBURNU,Yerli,28.89022,41.00148,2
2021-05-28,FATİH,Yerli,28.932981,41.015653,2
2021-06-06,BEYOĞLU,Yerli,28.96927,41.02979,1
2020-12-03,KARTAL,Yerli,29.33885,41.07742,1
2020-11-10,KÜÇÜKÇEKMECE,Yerli,28.78062,40.98844,6
2019-04-07,ŞİŞLİ,Yerli,28.989035,41.057795,1
2021-04-26,SARIYER,Yerli,29.053011,41.108199,26
2019-12-25,BAKIRKÖY,Yerli,28.884828,40.999602,3
2020-12-13,ÜSKÜDAR,Yerli,29.03821,41.01496,1
2020-12-03,FATİH,Yerli,28.93298,41.01565,1
2020-11-06,BEŞİKTAŞ,Yerli,29.02574,41.04744,2
2021-04-22,FATİH,Yabancı,28.973976,41.017609,8
2021-05-04,FATİH,Yerli,28.951463,41.030498,2
2020-12-15,KADIKÖY,Yerli,29.02399,40.99213,4
2021-07-02,BAHÇELİEVLER,Yerli,28.835378,40.992755,1
2019-12-19,ŞİŞLİ,Yerli,28.981998,41.068341,1
2020-12-03,FATİH,Yerli,28.97389,41.01758,1
2021-07-03,FATİH,Yabancı,28.962793,41.002499,3
2021-03-02,BEYOĞLU,Yerli,28.97478,41.02224,2
2018-12-02,GAZİOSMANPAŞA,Yerli,28.912558,41.06034,1
2021-06-26,KÜÇÜKÇEKMECE,Yabancı,28.767776,41.001919,3
2021-06-29,KARTAL,Yerli,29.146659,40.901284,1
2021-02-09,FATİH,Yabancı,28.97025,41.01757,4
2021-05-07,SULTANBEYLİ,Yerli,29.258734,40.968617,2
2019-01-10,EYÜP SULTAN,Yerli,28.948922,41.082908,1
2021-02-11,ŞİŞLİ,Yabancı,28.99246,41.06409,2
2021-01-05,KÜÇÜKÇEKMECE,Yerli,28.75983,41.0536,2
2021-02-26,ESENLER,Yerli,28.88197,41.03834,6
2021-04-07,GÜNGÖREN,Yerli,28.8977,41.00788,4
2021-03-02,KÜÇÜKÇEKMECE,Yerli,28.79624,41.04477,2
2021-06-04,EYÜPSULTAN,Yerli,28.944987,41.087819,6
2020-11-01,FATİH,Yerli,28.96677,41.00919,6
2021-02-02,BEYOĞLU,Yabancı,28.97478,41.02224,3
2021-07-02,ŞİLE,Yerli,29.798666,41.075095,1
2021-07-11,FATİH,Yabancı,28.97256,41.010197,1
2020-12-31,FATİH,Yabancı,28.97778,41.00683,51
2019-05-24,KÜÇÜKÇEKMECE,Yerli,28.788922,40.987307,1
2021-05-20,FATİH,Yerli,28.932298,41.048105,6
2018-04-25,SANCAKTEPE,Yerli,29.233057,40.978484,1
2021-06-25,SARIYER,Yabancı,29.053011,41.108199,5
2020-12-28,PENDİK,Yabancı,29.31137,40.93897,1
2021-02-22,KAĞITHANE,Yerli,28.97888,41.0696,5
2021-05-06,ÜSKÜDAR,Yerli,29.053364,41.050219,2
2021-02-16,BAHÇELİEVLER,Yerli,28.81876,41.01285,2
2019-09-12,FATİH,Yerli,28.945011,41.009663,2
2021-02-25,FATİH,Yabancı,28.97397,41.0176,1
2020-11-13,FATİH,Yabancı,28.97549,41.0081,8
2021-07-03,FATİH,Yabancı,28.956406,41.014892,1
2021-05-16,FATİH,Yabancı,28.977784,41.00683,64
2020-11-29,FATİH,Yabancı,28.96677,41.00919,11
2018-05-04,BAKIRKÖY,Yerli,28.820556,40.978551,2
2021-06-14,BEYOĞLU,Yerli,28.985969,41.036929,2
2020-12-18,EYÜPSULTAN,Yerli,28.93199,41.02881,1
2021-07-03,FATİH,Yabancı,28.97821,41.011816,6
2021-06-15,ÜSKÜDAR,Yerli,29.074823,41.012278,1
2021-05-26,ŞİŞLİ,Yabancı,28.987285,41.060332,1
2020-12-31,FATİH,Yabancı,28.97821,41.01181,2
2019-02-24,KARTAL,Yerli,29.18905,40.90657,1
2021-05-17,ÇEKMEKÖY,Yerli,29.190271,41.014079,2
2018-03-09,BAKIRKÖY,Yerli,28.820556,40.978551,3
2021-07-07,FATİH,Yerli,28.966282,41.009331,10
2021-05-09,BEYOĞLU,Yabancı,28.974782,41.022246,10
2021-04-27,BEYOĞLU,Yerli,28.976831,41.051604,2
2021-06-05,BAKIRKÖY,Yerli,28.858946,40.975509,17
2021-05-19,BEYKOZ,Yerli,29.073978,41.104805,2
2020-11-01,BAKIRKÖY,Yerli,28.80753,40.96024,7
2021-06-21,FATİH,Yerli,28.93176,41.02556,2
2020-11-05,FATİH,Yabancı,28.97292,41.0182,5
2018-08-27,EYÜP SULTAN,Yerli,28.933511,41.047359,10
2021-01-29,BEYOĞLU,Yerli,28.969,41.02396,4
2021-07-15,BAKIRKÖY,Yerli,28.80068,40.963136,4
2021-01-12,FATİH,Yerli,28.95117,41.00012,1
2021-07-04,ESENLER,Yerli,28.881976,41.038348,18
2020-02-19,SARIYER,Yerli,29.055617,41.143438,1
2021-05-08,GAZİOSMANPAŞA,Yerli,28.919846,41.058001,4
2021-05-31,EYÜPSULTAN,Yabancı,28.932578,41.053734,2
2017-10-19,EYÜP SULTAN,Yerli,28.948922,41.082908,2
2021-04-24,ŞİŞLİ,Yabancı,28.992465,41.064094,2
2021-03-05,KADIKÖY,Yerli,29.05788,40.97088,1
2021-07-06,SANCAKTEPE,Yerli,29.229558,40.992531,3
2018-11-24,BAKIRKÖY,Yabancı,28.820556,40.978551,1
2021-01-14,ÜSKÜDAR,Yerli,29.011697,41.01211,3
2021-05-05,BEYOĞLU,Yerli,28.985666,41.037058,10
2021-07-06,ZEYTİNBURNU,Yerli,28.929394,41.024776,3
2021-04-20,ŞİŞLİ,Yerli,28.992465,41.064094,20
2021-02-18,BEŞİKTAŞ,Yerli,29.00767,41.05983,1
2020-11-05,FATİH,Yabancı,28.97352,41.01751,3
2021-03-05,ARNAVUTKÖY,Yerli,28.75104,41.17954,1
2021-04-11,BEŞİKTAŞ,Yabancı,29.00736,41.04121,8
2021-05-22,ÜSKÜDAR,Yerli,29.011697,41.01211,4
2018-07-23,KARTAL,Yerli,29.189967,40.892454,1
2021-01-29,AVCILAR,Yerli,28.71296,40.99353,1
2021-07-09,ÜSKÜDAR,Yerli,29.069071,41.027853,10
